gvkey,datadate,fyear,tic,cusip,conm,at,lt,seq,ceq,txditc,pstkrv,pstkl,pstk,sale,revt,cogs,xsga,xrd,capx,oancf,ib,dp
016889,2020-12-31,2020,INDB,453836108,INDEPENDENT BANK CORP/MA,13204.301,11501.616,1702.685,1702.685,,0.0,0.0,0.0,511.432,511.432,86.841,189.51,,12.586,64.636,121.167,27.262
016890,2020-12-31,2020,IBCP,453838609,INDEPENDENT BANK CORP/MI,4204.013,3814.491,389.522,389.522,,0.0,0.0,0.0,220.574,220.574,28.68,87.808,,4.383,58.173,56.152,
016909,2020-12-31,2020,SLTTF,75419Y102,RAVELIN PROPERTIES REIT,1679.207,1052.584,626.623,604.743,0.0,21.88,21.88,21.88,187.593,187.593,103.837,4.716,0.0,0.0,46.45,13.648,0.0
016947,2020-12-31,2020,ATNM,00507W206,ACTINIUM PHARMACEUTICALS INC,66.397,5.078,61.319,61.319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.946,16.085,0.253,-21.617,-22.215,0.447
016957,2020-09-30,2020,HARL,41284E100,HARLEYSVILLE FINANCIAL CORP,854.876,776.245,78.631,78.631,,0.0,0.0,0.0,32.152,32.152,7.495,10.088,,0.298,8.641,7.111,0.7
016967,2020-12-31,2020,HIFS,433323102,HINGHAM INSTN FOR SAVINGS,2857.093,2564.15,292.943,292.943,,0.0,0.0,0.0,115.336,115.336,23.446,15.009,,1.529,45.592,50.771,0.703
016972,2020-12-31,2020,ANY,84841L506,SPHERE 3D CORP,11.833,6.824,5.009,-6.76,0.015,11.769,11.769,11.769,4.848,4.848,1.628,7.928,1.202,0.0,-2.582,-5.779,0.971
016976,2020-12-31,2020,MXLGF,62848A202,MX GOLD CORP,0.073,1.696,-1.623,-1.623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.287,,0.0,-0.031,-0.288,0.0
016981,2020-12-31,2020,OFG,67103X102,OFG BANCORP,9826.011,8740.036,1085.975,993.975,,92.0,92.0,92.0,590.426,590.426,157.587,180.209,,15.263,-88.621,74.327,23.756
016989,2020-12-31,2020,PEBK,710577107,PEOPLES BANCORP NC INC,1414.855,1274.956,139.899,139.899,,0.0,0.0,0.0,70.872,70.872,8.095,31.471,,2.492,9.162,11.357,2.5
017001,2020-12-31,2020,FUBO,35953D401,FUBOTV INC,859.349,236.401,634.042,227.377,5.1,406.665,406.665,406.665,217.746,217.746,233.782,170.065,30.189,0.166,-149.018,-570.333,43.972
017010,2020-12-31,2020,LSXMK,531229789,LIBERTY MEDIA SIRIUSXM GROUP,32081.0,19326.0,8250.0,8250.0,2116.0,0.0,0.0,0.0,8040.0,8040.0,3859.0,1871.0,,350.0,1924.0,-747.0,573.0
017012,2020-12-31,2020,XONE.1,302104104,EXONE CO,107.289,30.986,76.303,76.303,0.0,0.0,0.0,0.0,59.253,59.253,40.996,29.798,8.845,1.231,-13.836,-14.924,3.775
017024,2020-12-31,2020,GCTK,45824Q887,GLUCOTRACK INC,10.606,1.624,8.982,8.982,0.0,0.0,0.0,0.0,0.0,0.0,3.085,,1.532,0.053,-3.501,-2.696,0.047
017035,2020-12-31,2020,MCY,589400100,MERCURY GENERAL CORP,6328.246,4295.649,2032.597,2032.597,41.132,0.0,0.0,0.0,3923.011,3923.011,3290.124,,,39.953,605.616,374.607,29.338
017037,2020-09-30,2020,EMOTF,29102L406,EMERITA RESOURCES CORP,,,,,,,,,,,,,,,,,
017041,2020-12-31,2020,AMXEF,03114D108,AMEX GOLD MINING INC,55.529,11.257,44.272,44.272,0.41,0.0,0.0,0.0,0.0,0.0,0.086,4.15,,12.772,-2.315,-1.807,0.049
017072,2020-12-31,2020,NSEC,637546102,NATIONAL SEC GROUP INC,150.54,105.174,45.366,45.366,0.0,0.0,0.0,0.0,66.649,66.649,65.021,11.673,,0.051,-13.89,-8.619,0.109
017073,2020-12-31,2020,NWLI,638517102,NATIONAL WESTERN LIFE GROUP,14648.27,12108.52,2539.75,2539.75,145.126,0.0,0.0,0.0,690.542,690.542,570.771,,,12.106,373.071,92.312,11.903
017095,2020-12-31,2020,ONB,680033107,OLD NATIONAL BANCORP,22960.622,19987.966,2972.656,2972.656,,0.0,0.0,0.0,902.582,902.582,105.609,365.596,,30.871,219.82,226.409,43.002
017101,2020-12-31,2020,IMGN,45253H101,IMMUNOGEN INC,355.072,265.502,89.57,89.57,0.0,0.0,0.0,0.0,132.299,132.299,151.091,,114.592,0.917,-78.62,-44.372,2.101
017102,2020-10-31,2020,MFV,55274E102,MFS SPECIAL VALUE TRUST,,,,,,,,,,,,,,,,,
017106,2020-12-31,2020,PEBO,709789101,PEOPLES BANCORP INC/OH,4760.764,4185.091,575.673,575.673,,0.0,0.0,0.0,220.776,220.776,44.435,89.169,,4.299,85.483,34.767,
017115,2020-12-31,2020,SIGI,816300107,SELECTIVE INS GROUP INC,9687.913,6949.024,2738.889,2538.889,27.096,200.0,200.0,200.0,2895.77,2895.77,2563.035,3.912,,22.064,554.045,246.355,21.5
017120,2020-12-31,2020,MNSH,55339C109,MNSN HOLDINGS INC,115511.007,107077.516,8219.7,7879.562,,340.138,350.0,340.138,4081.758,4081.758,304.836,1546.471,,87.407,1445.487,1208.368,100.84
017130,2020-12-31,2020,STD2,80299Z005,SANTANDER HOLDINGS USA INC,149432.676,128169.964,19886.878,19886.878,,0.0,0.0,0.0,11970.272,11970.272,4528.986,2528.904,,7056.645,5268.999,-840.364,
017131,2020-12-31,2020,IHC,453440307,INDEPENDENCE HOLDING CO,1083.156,611.038,469.764,469.764,0.004,0.0,0.0,0.0,443.004,443.004,209.377,201.997,,0.0,51.422,18.881,4.621
017132,2020-12-31,2020,WSFS,929328102,WSFS FINANCIAL CORP,14333.914,12544.434,1791.726,1791.726,,0.0,0.0,0.0,715.43,715.43,201.63,250.215,,7.159,15.142,114.774,25.908
017145,2020-09-30,2020,WAFD,938824109,WAFD INC,18794.055,16779.922,2014.133,2014.133,,0.0,0.0,0.0,690.46,690.46,173.507,187.166,,31.937,166.6,173.438,
017150,2020-12-31,2020,WBS,947890109,WEBSTER FINANCIAL CORP,32590.69,29356.065,3234.625,3089.588,,145.037,150.0,145.037,1287.326,1287.326,248.406,611.693,,21.28,380.549,220.621,36.616
017151,2020-12-31,2020,WSBC,950810101,WESBANCO INC,16425.61,13668.873,2756.737,2612.253,,144.484,150.0,144.484,669.462,669.462,169.538,247.27,,7.551,59.606,122.044,4.241
017161,2020-12-31,2020,GAYGQ,61217R101,MONTAUK METALS INC,3.665,0.238,3.427,3.427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.703,,0.0,-1.553,-1.672,0.0
017173,2020-12-31,2020,ACNB,000868109,ACNB CORP,2555.362,2297.39,257.972,257.972,,0.0,0.0,0.0,105.224,105.224,21.362,44.401,,1.048,25.47,18.394,3.651
017175,2020-06-30,2020,HURA,898920103,TUHURA BIOSCIENCES INC,2.938,2.675,0.263,-4.54,0.0,4.803,4.803,4.803,0.0,0.0,0.0,8.134,3.63,0.0,-7.927,-9.126,0.01
017180,2020-12-31,2020,SNFCA,814785309,SECURITY NATL FINL CP  -CL A,1548.94,1284.953,263.987,263.987,22.663,0.0,0.0,0.0,481.463,481.463,119.8,266.793,,1.631,-129.627,55.597,14.841
017184,2020-12-31,2020,SBCF,811707801,SEACOAST BANKING CORP/FL,8342.392,7211.99,1130.402,1130.402,,0.0,0.0,0.0,348.605,348.605,62.471,124.107,,1.587,60.652,77.764,11.877
017185,2020-12-31,2020,XXII,90137F707,22ND CENTURY GROUP INC,51.694,7.584,44.11,44.11,,0.0,0.0,0.0,28.111,28.111,26.673,19.099,4.128,0.054,-15.621,-19.711,1.346
017192,2020-12-31,2020,CMAUF,167101203,CHIBOUGAMAU INDEPENDNT MINES,1.316,0.275,1.041,1.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.467,,0.0,-0.441,-0.251,0.0
017195,2020-12-31,2020,FFBC,320209109,FIRST FINL BANCORP INC/OH,15973.134,13691.064,2282.07,2282.07,,0.0,0.0,0.0,714.086,714.086,139.011,275.013,,16.466,109.888,155.81,33.337
017197,2020-12-31,2020,GM2,37045V001,GENERAL MOTORS FINL CO INC,113825.0,100227.0,13598.0,13598.0,1103.0,0.0,0.0,0.0,13831.0,13831.0,827.0,,,15267.0,7982.0,2009.0,7426.0
017199,2020-12-31,2020,BLFS,09062W204,BIOLIFE SOLUTIONS INC,234.829,29.583,205.246,205.246,0.0,0.0,0.0,0.0,48.087,48.087,18.2,27.74,6.72,4.774,6.645,2.667,5.068
017200,2020-11-30,2020,DSM,09662E109,BNY MELLON STRG MNPL BD FD,,,,,,,,,,,,,,,,,
017210,2020-03-31,2019,PCI.5,72202D106,PIMCO DYNAMIC CREDIT AND MTG,,,,,,,,,,,,,,,,,
017217,2020-12-31,2020,ISEYF,977486109,WI2WI CORP,11.033,4.335,6.698,6.698,0.0,0.0,0.0,0.0,6.928,6.928,5.188,1.869,0.526,0.166,-0.674,-0.588,0.88
017222,2020-12-31,2020,ADKT,007014103,ADIRONDACK TRUST CO,1495.891,1355.562,140.329,140.329,,0.0,0.0,0.0,64.33,64.33,10.717,31.565,,,,8.314,
017228,2020-12-31,2020,TALO,87484T108,TALOS ENERGY INC,2834.546,1907.945,926.601,926.601,,0.0,0.0,0.0,587.486,587.486,515.534,64.258,,362.942,301.923,-465.605,414.087
017240,2020-12-31,2020,TMP,890110109,TOMPKINS FINANCIAL CORP,7622.171,6904.482,716.277,716.277,,0.0,0.0,0.0,328.19,328.19,45.142,138.107,,4.551,101.387,77.588,11.676
017245,2020-12-31,2020,TRST,898349204,TRUSTCO BANK CORP/NY,5901.796,5333.635,568.161,568.161,,0.0,0.0,0.0,195.458,195.458,30.308,69.802,,3.83,62.157,52.452,4.04
017248,2020-12-31,2020,UBSI,909907107,UNITED BANKSHARES INC/WV,26184.247,21886.627,4297.62,4297.62,,0.0,0.0,0.0,1149.179,1149.179,215.171,385.695,,19.025,140.447,289.023,
017252,2020-12-31,2020,UFCS,910340108,UNITED FIRE GROUP INC,3069.678,2244.529,825.149,825.149,24.929,0.0,0.0,0.0,1068.627,1068.627,1216.262,,,18.862,41.435,-112.706,6.656
017269,2020-12-31,2020,ASRV,03074A102,AMERISERV FINANCIAL INC/PA,1279.713,1175.314,104.399,104.399,,0.0,0.0,0.0,63.157,63.157,12.89,31.459,,1.325,-1.373,4.598,1.996
017277,2020-12-31,2020,NVEE,62945V109,NV5 GLOBAL INC,881.175,487.106,394.069,394.069,27.791,0.0,0.0,0.0,659.296,659.296,321.349,247.454,,9.855,96.009,21.018,45.488
017280,2020-12-31,2020,FUND,85208J109,SPROTT FOCUS TRUST INC,,,,,,,,,,,,,,,,,
017285,2020-12-31,2020,CWGL,22662X100,CRIMSON WINE GROUP LTD,230.368,34.848,195.52,195.52,0.477,0.0,0.0,0.0,64.108,64.108,39.63,23.969,,3.103,13.591,-6.408,2.936
017287,2020-12-31,2020,SBSW,82575P107,SIBANYE-STILLWATER LIMITED,8785.966,4152.901,4486.59,4486.59,499.956,0.0,0.0,0.0,8346.304,8346.304,5080.274,95.399,,629.98,1778.727,1920.413,542.227
017306,2020-12-31,2020,PFSI,70932M107,PENNYMAC FINANCIAL SERVICES,31597.795,28208.407,3389.388,3389.388,597.321,0.0,0.0,0.0,3977.148,3977.148,1426.268,,,10.671,-6198.938,1646.884,25.575
017330,2020-05-31,2019,NIQ.1,670677103,NUVEEN INTERMED DUR QUAL MUN,,,,,,,,,,,,,,,,,
017336,2020-12-31,2020,BIZD,92189F411,VANECK BDC INCOME ETF,,,,,,,,,,,,,,,,,
017339,2020-12-31,2020,FPE,33739E108,FIRST TRUST PFD SECS & INCM,,,,,,,,,,,,,,,,,
017341,2020-12-31,2020,ARTNA,043113208,ARTESIAN RESOURCES  -CL A,593.218,423.792,169.426,169.426,50.786,0.0,0.0,0.0,88.141,88.141,49.019,,,34.277,20.358,16.817,11.143
017349,2020-10-31,2020,SKKY,830719100,SKKYNET CLOUD SYSTEMS INC,1.088,0.619,0.469,0.469,0.0,0.0,0.0,0.0,1.507,1.507,1.897,,,0.0,0.102,-0.311,0.002
017360,2020-12-31,2020,XSLV,46138G102,INVESCO S&P SMCP LOW VOL ETF,,,,,,,,,,,,,,,,,
017362,2020-12-31,2020,XMLV,46138E198,INVESCO S&P MIDCAP LOW VOLAT,,,,,,,,,,,,,,,,,
017367,2020-12-31,2020,AMNB,027745108,AMERICAN NATL BANKSHARES,3050.01,2712.116,337.894,337.894,,0.0,0.0,0.0,112.683,112.683,20.936,35.351,,2.694,23.676,30.045,3.825
017376,2020-12-31,2020,MRINQ,56804T304,MARIN SOFTWARE INC,37.009,21.194,15.815,15.815,,0.0,0.0,0.0,29.983,29.983,12.462,27.637,12.815,1.884,-5.675,-14.051,5.003
017379,2020-12-31,2020,PDIV.,74640V102,PURPOSE ENHNCD DIV FUND ETF,25.197,0.337,24.86,24.86,0.0,0.0,0.0,0.0,0.928,0.928,0.384,,,0.0,4.615,-1.447,0.0
017380,2020-12-31,2020,AHOTF,026695106,AMERICAN HOTEL INCM PROP LP,1193.906,852.192,341.714,341.714,4.011,0.0,0.0,0.0,175.126,175.126,185.293,14.729,0.0,0.0,3.325,-65.766,
017384,2020-09-30,2020,BYAGF,06683K106,BANYAN GOLD CORP,13.449,2.368,11.081,11.081,1.544,0.0,0.0,0.0,0.0,0.0,0.0,0.827,,2.771,0.011,-1.861,0.012
017386,2020-12-31,2020,SPVNF,84761T869,SPECTRA7 MICROSYSTEMS INC,0.949,15.226,-14.277,-14.277,0.0,0.0,0.0,0.0,1.032,1.032,0.453,4.646,2.827,0.008,-1.524,-6.158,0.961
017392,2020-12-31,2020,ANAV,02077H106,ALPHA NETWORK ALLIANCE VNTRS,0.073,4.296,-4.223,-4.223,0.0,0.0,0.0,0.0,0.142,0.142,0.094,0.694,,0.0,-0.065,-0.646,0.0
017396,2020-12-31,2020,AMPG,03211Q200,AMPLITECH GROUP INC,2.812,2.372,0.44,0.44,0.0,0.0,0.0,0.0,3.458,3.458,2.112,2.17,0.062,0.072,-0.521,-1.026,0.092
017402,2020-12-31,2020,BIT,09258A107,BLACKROCK MULTI-SECT INCM TR,,,,,,,,,,,,,,,,,
017408,2020-12-31,2020,NVGS,Y62132108,NAVIGATOR HOLDINGS LTD,1839.408,897.013,940.54,940.54,0.032,0.0,0.0,0.0,332.495,332.495,190.388,23.871,,2.264,44.673,-0.443,76.681
017411,2020-12-31,2020,AIF,037638103,APOLLO TACTICAL INCOME FUND,,,,,,,,,,,,,,,,,
017420,2020-12-31,2020,ATLCY,049255805,ATLAS COPCO AB (PUBL),13345.127,7043.255,6264.32,6264.32,204.357,0.0,0.0,0.0,11775.721,11775.721,6513.762,2298.31,442.852,171.749,2613.792,1739.742,607.774
017422,2020-12-31,2020,PME,G7114V102,PINGTAN MARINE ENTERPRISE,463.46,378.48,69.713,69.713,0.0,0.0,0.0,0.0,87.24,87.24,78.006,8.942,0.0,86.611,-32.578,-72.878,14.722
017423,2020-12-31,2020,HYLS,33738D408,FIRST TR TACTICAL HI YLD ETF,,,,,,,,,,,,,,,,,
017436,2020-12-31,2020,BASFY,055262505,BASF SE,96782.853,55319.985,40655.259,40655.259,1744.194,0.0,0.0,0.0,72747.456,72747.456,49437.702,14852.766,2514.435,3771.652,6524.754,-1752.631,4586.494
017439,2020-12-31,2020,PEX,74348A533,PROSHARES GLBL LISTD PRIV EQ,,,,,,,,,,,,,,,,,
017449,2020-12-31,2020,KELTF,488295106,KELT EXPLORATION LTD,759.987,156.303,603.684,603.684,0.0,0.0,0.0,0.0,196.802,196.802,470.558,10.541,,152.104,59.279,-324.807,114.515
017451,2020-12-31,2020,IBTX,45384B106,INDEPENDENT BK GRP INC,17753.476,15238.105,2515.371,2515.371,,0.0,0.0,0.0,696.569,696.569,138.053,196.75,,21.135,154.295,201.209,25.399
017452,2020-12-31,2020,DANOY,23636T100,DANONE SA,51561.592,31907.772,19533.28,19533.28,1776.739,0.0,0.0,0.0,28471.217,28471.217,13861.938,9611.748,389.34,1160.787,3576.38,2357.735,967.925
017454,2020-12-31,2020,KNOP,Y48125101,KNOT OFFSHORE PRTNRS LP,1780.296,1082.747,697.549,608.285,0.295,89.264,89.264,89.264,278.581,278.581,60.4,5.328,,0.339,169.241,65.225,90.348
017485,2020-12-31,2020,DRIO,23725P308,DARIOHEALTH CORP,35.407,7.256,28.151,28.151,0.0,0.0,0.0,0.0,7.576,7.576,4.873,32.416,4.433,0.118,-17.736,-29.445,0.19
017489,2020-12-31,2020,DIV,37950E291,GLOBAL X SUPERDIVIDEND U S,,,,,,,,,,,,,,,,,
017491,2020-05-31,2019,STME,15115X206,STIMCELL ENERGETICS INC,0.159,1.679,-1.52,-1.52,0.0,0.0,0.0,0.0,0.096,0.096,0.01,1.123,0.393,0.002,-0.926,-1.093,0.002
017494,2020-01-31,2019,MAMA,56146T103,MAMA'S CREATIONS INC,9.937,9.534,0.403,0.403,0.0,0.0,0.0,0.0,34.837,34.837,23.125,8.988,0.115,0.268,1.814,1.533,0.64
017498,2020-12-31,2020,CMRX,16934W106,CHIMERIX INC,84.723,11.347,73.376,73.376,0.0,0.0,0.0,0.0,5.372,5.372,49.519,,36.232,0.058,-36.038,-43.522,0.402
017515,2020-08-31,2020,GKPRF,36734X104,GATEKEEPER SYSTEMS INC,15.602,4.764,10.838,10.838,0.0,0.0,0.0,0.0,20.317,20.317,11.967,5.794,1.595,0.21,-1.895,3.579,0.363
017534,2020-12-31,2020,CCNE,126128107,CNB FINANCIAL CORP/PA,4729.399,4313.262,416.137,358.352,,57.785,60.375,57.785,195.226,195.226,47.81,61.056,,5.644,28.758,32.743,6.082
017553,2020-09-30,2020,MODN,607525102,MODEL N INC,320.29,195.619,124.671,124.671,0.495,0.0,0.0,0.0,161.056,161.056,63.556,98.608,34.361,0.579,14.406,-13.664,5.498
017554,2020-12-31,2020,MINC,00768Y727,ADVISORSHARES NEWFLEET MULTI,,,,,,,,,,,,,,,,,
017556,2020-12-31,2020,BPY,G16249107,BROOKFIELD PROPERTY PRTRS LP,107951.0,66428.0,12412.0,11713.0,2858.0,287.5,287.5,699.0,6593.0,6593.0,2633.0,816.0,,2475.0,1332.0,-1098.0,319.0
017582,2020-12-31,2020,HRR.UN,05257X106,AUSTRALIAN REIT INCOME FUND,11.018,3.017,8.001,8.001,0.0,0.0,0.0,0.0,0.439,0.439,0.358,,0.0,0.0,2.326,-0.952,0.0
017584,2020-12-31,2020,BUA.UN,093764108,BLOOM US INCOME & GROWTH FD,,,,,,,,,,,,,,,,,
017589,2020-12-31,2020,MDIV.,596333104,MIDDLEFIELD GLOBAL DIV GROWS,75.025,2.499,72.526,72.526,0.0,0.0,0.0,0.0,1.588,1.588,1.098,,,0.0,1.706,5.436,0.0
017594,2020-12-31,2020,RBNC,75956B101,RELIANT BANCORP INC,3026.535,2704.562,321.973,321.973,,0.0,0.0,0.0,151.83,151.83,30.575,54.088,,2.873,-74.929,31.412,4.687
017602,2020-12-31,2020,BHRB,12135Y108,BURKE HERBERT FINL SRVS CORP,3432.644,3047.767,384.877,384.877,,0.0,0.0,0.0,120.088,120.088,23.929,46.948,,2.697,23.174,26.499,2.937
017614,2020-12-31,2020,ZMP.,05576Q105,BMO MID PROVINCIAL BOND IDX,,,,,,,,,,,,,,,,,
017615,2020-12-31,2020,BZLUF,05577D103,BMO LOW VOLATILITY US EQ FND,,,,,,,,,,,,,,,,,
017616,2020-12-31,2020,BURCA,122295108,BURNHAM HOLDINGS INC,154.375,63.16,91.215,90.685,6.575,0.314,0.299,0.53,187.461,187.461,144.649,30.477,,4.349,4.74,6.547,4.336
017617,2020-12-31,2020,ZDY.,05575X119,BMO US DIVIDEND ETF,,,,,,,,,,,,,,,,,
017618,2020-12-31,2020,ZPL.,05577K107,BMO LONG PROVINCIAL BOND IDX,,,,,,,,,,,,,,,,,
017619,2020-12-31,2020,ZMU.,05575W103,BMO MID-TM US IG CORP HEDGED,,,,,,,,,,,,,,,,,
017620,2020-12-31,2020,ZUD.,05576C106,BMO US DIV HEDGED TO CAD ETF,,,,,,,,,,,,,,,,,
017621,2020-12-31,2020,ZIC.,05577M103,BMO MID-TERM US IG CORP BOND,,,,,,,,,,,,,,,,,
017626,2020-12-31,2020,AHRT,04208T108,AH REALTY TRUST INC,1916.971,1160.169,523.199,352.114,0.0,171.085,171.085,171.085,403.475,403.475,327.792,13.745,0.0,0.0,91.179,29.152,
017634,2020-12-31,2020,RRDMF,G76828105,ROYAL RD MINERALS,20.061,0.178,19.884,19.884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.561,,0.038,-3.751,-5.988,0.014
017639,2020-12-31,2020,AMH,02665T306,AMERICAN HOMES 4 RENT,9593.625,3121.195,5789.094,5788.74,0.0,883.75,883.75,0.354,1182.836,1182.836,864.548,57.815,0.0,0.0,474.1,140.374,8.9
017641,2020-12-31,2020,BKSC,065066102,BANK SOUTH CAROLINA CORP,532.495,477.514,54.981,54.981,,0.0,0.0,0.0,20.644,20.644,0.545,9.436,,0.184,0.292,6.461,0.421
017651,2020-06-30,2020,RZLT,76200L309,REZOLUTE INC,10.965,3.6,7.365,7.365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.503,14.45,0.0,-24.168,-20.333,0.018
017653,2020-12-31,2020,ADMA,000899104,ADMA BIOLOGICS INC,207.673,119.424,88.249,88.249,0.0,0.0,0.0,0.0,42.22,42.22,50.565,44.928,5.907,12.727,-102.003,-75.749,3.942
017658,2020-12-31,2020,TGRF,87243P108,TGR FINANCIAL INC,2001.001,1836.441,164.56,163.522,,1.038,1.038,1.038,65.775,65.775,17.968,21.651,,12.442,21.299,16.42,1.4
017659,2020-12-31,2020,CCFN,124880105,MUNCY COLUMBIA FINANCIA CORP,855.088,749.401,105.687,105.687,,0.0,0.0,0.0,32.73,32.73,4.079,12.584,,0.162,7.44,9.332,0.697
017660,2020-12-31,2020,IXLDF,46434Q101,ISHARES S&P GLOBAL IND (CAD),,,,,,,,,,,,,,,,,
017661,2020-12-31,2020,IXLCF,46434P103,ISHARES S&P GBL CONSUM (CAD),,,,,,,,,,,,,,,,,
017662,2020-12-31,2020,NGE,37954Y665,GLOBAL X MSCI NIGERIA ETF,,,,,,,,,,,,,,,,,
017672,2020-12-31,2020,SRLN,78467V608,STATE ST BLACKSTON SR LN ETF,,,,,,,,,,,,,,,,,
017687,2020-12-31,2020,HMTV,42365Q103,HEMISPHERE MEDIA GROUP INC,501.845,270.359,231.005,231.005,19.306,0.0,0.0,0.0,151.184,151.184,48.309,44.58,,2.386,55.979,-1.235,11.472
017696,2020-12-31,2020,TSC,89678F100,TRISTATE CAPITAL HLDGS INC,9896.816,9139.671,757.145,580.002,,177.143,185.75,177.143,274.3,274.3,98.551,77.072,,5.067,85.407,45.234,4.209
017702,2020-12-31,2020,BRZU,25460G708,DIREXION DLY MSCI BRAZIL ETF,,,,,,,,,,,,,,,,,
017704,2020-12-31,2020,KORU,25461A387,DIREXION DLY MSCI SOTH KOREA,,,,,,,,,,,,,,,,,
017707,2020-09-30,2020,WBBW,95727P106,WESTBURY BANCORP INC,887.285,808.43,78.855,78.855,,0.0,0.0,0.0,38.05,38.05,5.825,14.964,,4.448,10.719,7.216,1.255
017708,2020-12-31,2020,CANWF,68558N102,ORCA GOLD INC,47.198,0.99,71.064,71.064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.917,,0.005,-10.578,19.144,0.345
017715,2020-12-31,2020,CVLY,192025104,CODORUS VALLEY BANCORP,2162.199,1964.239,197.96,197.96,,0.0,0.0,0.0,91.605,91.605,29.928,36.871,,2.257,11.914,8.442,2.748
017716,2020-12-31,2020,AXIM,05463V100,AXIM BIOTECHNOLOGIES INC,11.314,9.748,1.566,1.566,2.34,0.0,0.0,0.0,0.0,0.0,0.0,4.933,0.427,0.097,-3.215,-6.291,0.016
017720,2020-12-31,2020,IVREF,45780E100,INOVALIS REAL ESTATE INVT TR,712.089,335.428,375.238,375.238,13.212,0.0,0.0,0.0,35.863,35.863,9.167,7.027,0.0,0.0,-2.665,18.196,
017724,2020-12-31,2020,CNOB,20786W107,CONNECTONE BANCORP INC,7547.339,6632.029,915.31,915.31,,0.0,0.0,0.0,322.6,322.6,111.209,72.759,,2.199,81.125,71.289,6.803
017727,2020-12-31,2020,CHRN,170924104,CHRONOSCALE HOLDINGS CORP,20.597,16.163,4.434,4.434,0.0,0.0,0.0,0.0,8.882,8.882,3.192,17.928,2.474,0.0,-8.755,-15.825,0.62
017748,2020-12-31,2020,IXSAF,46434T105,ISHARES MSCI EAFE IMI INDEX,,,,,,,,,,,,,,,,,
017749,2020-12-31,2020,XEC.,46434U102,ISHARES CORE MSCI EMRG MKTS,,,,,,,,,,,,,,,,,
017750,2020-12-31,2020,IXSHF,46434R109,ISHARES CORE S&P 500 IDX ETF,,,,,,,,,,,,,,,,,
017754,2020-12-31,2020,AEYE,050734201,AUDIOEYE INC,18.254,10.62,7.634,7.633,0.0,1.38,1.155,0.001,20.475,20.475,5.512,21.133,1.23,0.0,-1.906,-7.158,0.963
017759,2020-12-31,2020,IQDF,33939L837,NORTHERN TRUST INTL QLTY DIV,,,,,,,,,,,,,,,,,
017760,2020-12-31,2020,IQDE,33939L811,FLEXSHARES INT QUAL DIV DEF,,,,,,,,,,,,,,,,,
017767,2020-03-31,2019,SUND,86726Q104,SUNDANCE STRATEGIES INC,0.031,3.757,-3.726,-3.726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.829,,0.0,-0.75,-1.113,0.0
017768,2020-12-31,2020,IQDY,33939L829,NORTHERN TRUST INTL QULTY DY,,,,,,,,,,,,,,,,,
017769,2020-12-31,2020,HASI,41068X100,HA SUSTAINABLE INFRA CAP INC,3459.067,2248.918,1203.296,1203.296,8.0,0.0,0.0,0.0,234.87,234.87,154.89,,0.0,0.0,73.282,82.416,
017777,2020-12-31,2020,MTUM,46432F396,ISHARES MSCI USA MOMENTUM FA,,,,,,,,,,,,,,,,,
017778,2020-12-31,2020,SIZE,46432F370,ISHARES MSCI USA SIZE FACTOR,,,,,,,,,,,,,,,,,
017779,2020-12-31,2020,VLUE,46432F388,ISHARES MSCI USA VALUE FACTO,,,,,,,,,,,,,,,,,
017791,2020-12-31,2020,IBCE,46432FAN7,ISHARES IBDS MAR 2023 TRM CP,,,,,,,,,,,,,,,,,
017795,2020-12-31,2020,CNAF,202217105,COMMERCIAL NATL FINL CP/PA,425.431,356.004,69.427,69.427,,0.0,0.0,0.0,19.259,19.259,0.95,8.673,,0.581,5.15,5.713,0.393
017807,2020-12-31,2020,LITB,53225G201,LIGHTINTHEBOX HOLDING CO,158.028,108.651,49.294,49.294,3.558,0.0,0.0,0.0,398.151,398.151,219.554,173.273,15.156,2.233,29.314,13.317,2.443
017808,2020-12-31,2020,EPZM,29428V104,EPIZYME INC,473.573,288.676,184.897,148.77,,0.0,0.0,36.127,15.762,15.762,237.194,,110.933,0.88,-206.336,-231.694,3.984
017811,2020-12-31,2020,ECOM,159179100,CHANNELADVISOR CORP,180.661,50.57,130.091,130.091,0.471,0.0,0.0,0.0,145.072,145.072,26.143,93.03,18.99,4.738,34.306,18.825,6.513
017812,2020-01-31,2019,HDS,40416M105,HD SUPPLY HOLDINGS INC,4715.0,3363.0,1352.0,1352.0,33.0,0.0,0.0,0.0,6146.0,6146.0,3736.0,1561.0,0.0,106.0,677.0,451.0,113.0
017821,2020-07-31,2020,GRNBF,393576202,GREENBANK CAPITAL INC,1.931,1.495,0.161,0.161,0.0,0.0,0.0,0.0,0.0,0.0,1.243,,0.015,0.095,-0.558,-1.327,0.0
